Screen Name,Age in Years,# of Followers,# of Followings,Follower/Following Ratio,URL,Verified,Number of Tweets,# of liked Tweets,# of lists,Bot: 4.0 Threshold
surewintone,9,72,129,0.56,0,0,546,5135,1,0
affnj0209,3,0,3,0.0,0,0,46,49,0,1
fabiocrypto91,0,4,58,0.07,0,0,26,13,0,1
sabet,13,4398,1257,3.5,1,0,10195,4781,140,0
ujjawal58348553,0,2,78,0.03,0,0,109,15,0,0
cryptoarticles,7,1400,30,46.67,1,0,11061,549,220,1
akshay04469077,0,0,10,0.0,0,0,4,3,0,1
juniormore1o,0,110,228,0.48,0,0,12,7,0,1
nandista,12,352,485,0.73,0,0,6537,871,1,0
deobiny1117,1,545,886,0.62,0,0,1841,2402,2,0
mxc_exchange,3,75388,653,115.45,1,0,3536,2734,275,0
fidelity,12,290258,4705,61.69,1,1,32713,35,3218,1
mrpulse6,1,108,140,0.77,0,0,196,629,2,0
imamzainal8,7,112,446,0.25,0,0,371,253,1,0
juan_a_lleo,8,2018,5001,0.4,0,0,23873,23860,1223,1
ojiogup,0,0,13,0.0,0,0,4,0,0,1
kryptoole,4,622,84,7.4,1,0,1020,313,3,0
jacek86344806,1,16,144,0.11,0,0,676,823,1,1
faizan73997984,1,0,56,0.0,0,0,46,65,0,1
akira36228258,4,189,1110,0.17,0,0,13088,2632,1,1
mrthkns,0,5,19,0.26,0,0,14,4,0,1
hajinomotox,1,66,125,0.53,0,0,129,0,0,0
luissantosoffic,5,422,663,0.64,0,0,14611,14156,5,0
lucianozico6,0,110,219,0.5,0,0,4,3,0,1
aantonop,8,573669,0,0.0,1,1,30629,13473,9306,0
financechainge,1,36180,7,5168.57,1,0,77,67,13,0
serverlessfan,3,3489,6,581.5,0,0,340711,7,133,1
crypto_serbia,0,0,9,0.0,0,0,1,1,0,1
rousvoalthomas,10,28,27,1.04,1,0,42,35,1,0
nagabab08539348,3,12,67,0.18,0,0,224,719,0,1
cryptoprasa,0,24,29,0.83,0,0,113,84,0,0
magicbalancer,0,29901,4,7475.25,1,0,20,3,2,1
simplykashif,6,7228,281,25.72,1,0,4806,4614,22,0
ca04ncqvwdpryzs,1,2,2,1.0,0,0,125,133,0,1
botraj1,1,340,1,340.0,0,0,437490,175449,1,1
yowcryps,3,278,1093,0.25,0,0,5283,7441,8,0
dogecoinxx,0,11611,3,3870.33,0,0,1253,3,16,0
stackersatoshi,1,42593,242,176.0,0,0,1218,1031,226,0
defimoonfinance,0,1587,0,0.0,1,0,2,0,0,1
apompliano,10,675807,5582,121.07,1,1,53340,321202,7725,0
tom554554554,2,15,37,0.41,0,0,326,203,0,1
beincrypto,3,16301,1318,12.37,1,0,25013,8069,210,0
vikas9238,4,6,67,0.09,0,0,11,8,0,1
angelkritika9,0,3110,4043,0.77,0,0,54,90,1,1
guidiganh,0,0,3,0.0,0,0,4,4,0,1
ay14433,1,2,17,0.12,0,0,138,81,0,1
durerus,8,1079,1071,1.01,0,0,24540,20052,48,0
fahatt__sheikhy,1,3133,746,4.2,0,0,22508,33291,0,0
charlen90104903,0,0,7,0.0,0,0,5,1,0,1
ikadeyasa2,1,4,151,0.03,0,0,10,3,2,1
cardibot1,0,1279,574,2.23,0,0,105,117,0,0
cointelegraphmt,1,18342,38,482.68,1,0,2591,115,288,1
airdropstario,2,95311,0,0.0,1,0,47,0,29,1
baba9ja,11,1405,1178,1.19,1,0,18344,126,4,0
pawlowskimario,3,18993,10530,1.8,1,0,28725,67740,195,1
rainews,13,1103148,304,3628.78,1,1,235375,1552,7043,0
fatehsi53165549,1,0,7,0.0,0,0,1,0,0,1
changeonslejeu,5,3314,841,3.94,0,0,44368,3116,111,0
agarmaikahoon,3,6802,1,6802.0,0,0,433,10496,5,1
cryptopaniccom,4,8728,22,396.73,1,0,15666,178,228,1
hauhuynhpro,0,2,11,0.18,0,0,12,13,0,1
unlimitedboy12,0,0,18,0.0,0,0,5,35,0,1
deitaone,7,259492,33,7863.39,0,0,92490,4327,5082,1
bitcointina,6,33292,2520,13.21,0,0,39444,18774,598,0
safeking_,0,11440,25,457.6,1,0,12,0,0,1
machellelymac,1,0,34,0.0,0,0,30,22,0,1
paleobit,12,2326,3409,0.68,1,0,14288,20786,60,0
britonsertac,1,307,731,0.42,1,0,5007,1380,0,1
atakhltir,0,18,121,0.15,0,0,78,104,0,0
doubledoruk,3,162,618,0.26,0,0,1713,8454,0,0
mmsasidharan,10,542,1454,0.37,1,0,7285,7084,3,0
soso99581944,0,6,26,0.23,0,0,0,0,0,1
bharath73618637,0,1,11,0.09,0,0,6,1,0,1
reddishwine3,4,55081,11730,4.7,1,0,223163,238470,21,0
aliakbar5ever,0,32,449,0.07,0,0,148,159,0,0
praiset_sun,2,51,684,0.07,0,0,399,299,0,0
dpy1ub3c1chmgjk,0,0,13,0.0,0,0,11,5,0,1
nguyena40501146,0,1,28,0.04,1,0,37,26,0,1
blog_street,1,568,239,2.38,0,0,12481,10893,0,0
univegeta,7,13,0,0.0,0,0,51,0,1,1
ramyavellanki,10,6091,4701,1.3,1,0,300955,291935,223,0
asianetnewsen,5,29825,817,36.51,1,1,33592,98,121,1
solomontrisme,1,52,229,0.23,0,0,1494,4187,1,0
hchimax,1,29,418,0.07,0,0,893,1091,1,0
triwibo40104348,1,5,109,0.05,0,0,25,8,0,1
imfaisa32107243,0,2,61,0.03,0,0,41,10,0,1
proph007_,9,4140,2804,1.48,1,0,16010,15104,1,1
seetalabs,2,1329,1268,1.05,1,0,51782,247,32,0
sunki2004,5,50,625,0.08,0,0,273,622,0,0
jkookielizalde,0,383,844,0.45,0,0,2392,434,0,1
thepxlportraits,0,1679,4228,0.4,1,0,725,794,9,0
jenniferli0415,0,0,8,0.0,0,0,4,2,0,1
hawkice66,12,468,297,1.58,1,0,25698,76725,14,0
melvilleroyston,1,27,194,0.14,0,0,229,849,1,0
celenaannie,1,29,32,0.91,0,0,402,482,2,0
drjdrooghaag,6,31802,4690,6.78,1,0,126747,249901,356,1
amitsha25464147,3,1,14,0.07,0,0,18,7,0,1
channelstv,11,4629761,214,21634.4,1,1,154614,4774,3338,0
juliettebrando,0,70,0,0.0,0,0,78,83,0,1
itakaeru,11,119,2571,0.05,0,0,5143,10650,2,0
calomas,12,3630,4522,0.8,1,0,14065,13014,513,0
eu_commission,11,1479604,648,2283.34,1,1,40021,11879,12680,0
g_reatness,1,2356,696,3.39,0,0,4647,4612,1,0
saamon2500,10,7294,1327,5.5,1,0,32204,43640,72,0
crypto_edstark,1,1270,1377,0.92,0,0,870,1674,5,0
hubeey,1,3,19,0.16,0,0,8,1,0,1
xiaohhao,7,2,23,0.09,0,0,14,2,0,1
ijagbirsingh,4,89,291,0.31,0,0,114,779,0,1
kucoinbd,1,631,8,78.88,1,0,136,12,0,0
dominik47217025,3,2,75,0.03,0,0,112,35,0,0
alissablackpro,4,17925,3998,4.48,1,0,134111,20805,51,0
diagtx,0,25,48,0.52,0,0,74,14,0,1
haffinphang,8,39,143,0.27,0,0,62,21,0,0
ktckm4649,5,5297,553,9.58,0,0,183899,5820,108,1
zupis21,4,33,1924,0.02,0,0,9454,2001,0,0
rdwimriego,8,221,2925,0.08,1,0,15791,3510,1,0
schmiedvolk,2,1,18,0.06,0,0,1,1,0,1
yuans2465,0,11,20,0.55,0,0,11,7,0,1
nouman61714708,8,0,174,0.0,0,0,11,14,0,1
cosmos,13,92985,355,261.93,1,0,2591,5234,1150,0
mjs20206,0,1,24,0.04,0,0,11,38,0,1
shenoyjaya,0,0,57,0.0,0,0,4,10,0,1
carlopao86,10,1745,1891,0.92,0,0,73768,24074,81,0
evankirstel,12,298969,274503,1.09,1,0,1011148,308578,13149,1
coincapitan,0,210,0,0.0,0,0,8380,0,0,1
uncleboluw,7,98009,91275,1.07,0,0,34868,10724,192,0
s_edalati,4,2247,3038,0.74,0,0,38216,112,11,1
ogapikinn,1,45,219,0.21,0,0,163,49,0,0
kadirkarapelit,11,907,131,6.92,0,0,42,63,0,0
bitcicomglobal,0,90,12,7.5,1,0,8,0,0,1
dazzatron,12,16,130,0.12,0,0,251,1022,0,0
algoharasif,8,4833,3613,1.34,0,0,53364,19148,88,1
pco4tfl,11,203,6,33.83,1,0,74934,1421,26,1
coretoio,3,9069,205,44.24,1,0,583,302,11,0
bigwill72594006,4,33,309,0.11,0,0,308,116,0,0
nutsfinance,3,3221,78,41.29,1,0,185,66,22,0
polkaventures,0,17307,0,0.0,1,0,34,23,9,0
martiniguyyt,5,58388,975,59.89,1,0,12450,35990,339,0
luminasapphire,2,113,519,0.22,0,0,1114,753,1,1
pars_matt,0,0,3,0.0,0,0,1,1,0,1
riegochan,8,131,240,0.55,0,0,4542,721,0,0
egor098123,6,22,30,0.73,0,0,12,125,0,0
yankeehistory,10,636,1064,0.6,1,0,791,0,13,1
omar90924833,0,1,33,0.03,0,0,12,2,0,1
barcelona_1one,3,68,262,0.26,0,0,1153,5333,0,0
dawsond88dawson,8,819,289,2.83,1,0,870,1812,2,0
bitcoin_yatirim,0,20,0,0.0,1,0,1,0,0,1
ariel09072011,2,0,68,0.0,0,0,66,122,0,1
raizohizoh,1,21,21,1.0,0,0,71,1,0,1
balanceot,1,132,59,2.24,0,0,4394,3125,1,1
_slcdnx,2,2106,4585,0.46,0,0,10057,25141,0,1
yekturus,3,1953,14,139.5,0,0,4391,2,22,1
itz_viti,8,8215,6974,1.18,0,0,11759,10974,1,0
sumi2021,0,4252,4734,0.9,0,0,69,68,2,0
rasthemass,1,67,144,0.47,0,0,532,3085,0,0
diya92275263,0,475,1974,0.24,1,0,3303,2686,2,1
goldenyiseo,0,253,1964,0.13,1,0,11486,8491,0,0
elonmusk,12,49850617,103,483986.57,0,1,13904,8359,66673,1
hotbit,14,82,0,0.0,0,0,0,0,1,1
theshillgod,10,3520,374,9.41,0,0,33933,11085,18,0
thecuriousluke,3,6164,256,24.08,0,0,303802,82,157,0
sipdeal99,3,186,43,4.33,1,0,11371,0,5,1
koifishink21,5,229,639,0.36,1,0,11567,29287,0,0
kylegold2020,1,317,361,0.88,1,0,1085,5015,7,0
unreliefchief,6,78345,241,325.08,1,1,3846,1333,699,0
argemf,0,1,23,0.04,0,0,2,2,0,1
f1_crypto,0,21,196,0.11,0,0,1137,1050,0,0
tabrobot,7,10,0,0.0,0,0,55,0,0,1
bitscores,3,3623,128,28.3,1,0,28,9,1,0
nayeem220,0,30,54,0.56,0,0,2,31,0,1
cecoswap,0,11901,1,11901.0,1,0,6,0,0,1
ramazan97082062,0,1,17,0.06,0,0,79,126,0,1
piotrostapowicz,1,11633,67,173.63,1,0,328,375,38,0
hsnmmtz16,4,2,111,0.02,0,0,13,2,0,1
celebshrink,12,1567,1605,0.98,0,0,106980,48616,96,1
brianto31059798,0,0,33,0.0,0,0,17,3,0,1
trieubaccb,2,56,692,0.08,1,0,828,449,0,0
cryptomitch8,3,290,681,0.43,1,0,2946,3205,1,0
quynh09316532,1,118,231,0.51,0,0,1358,3764,0,0
2020smiles,9,3678,2824,1.3,0,0,150610,94073,9,0
adistydistya,0,16,26,0.62,0,0,20,51,0,0
ruslan10101982,0,0,6,0.0,0,0,3,1,0,1
kyoongiekyootie,0,62,2390,0.03,0,0,13999,2376,0,0
cryptosabe,2,34,244,0.14,0,0,86,67,1,0
francisnpm,8,71,285,0.25,1,0,569,316,0,0
emmarni,12,16,241,0.07,0,0,53,7,0,1
lambuchan99,3,214,1164,0.18,0,0,1865,1156,3,1
ledxrp,8,392,490,0.8,0,0,16566,57327,5,0
oktaviaernaaa,2,4,36,0.11,1,0,8,108,0,1
benefit_mercy,0,2,12,0.17,0,0,48,46,0,1
du09btc,5,253,85,2.98,1,0,918,111,3,0
danielwworrall,8,80,165,0.48,0,0,541,952,0,0
robschn44222041,0,2,55,0.04,0,0,84,35,0,0
27sonug,0,7,151,0.05,0,0,24,5,0,1
akashan82893334,0,0,9,0.0,0,0,1,0,0,1
enricomolinari,12,32798,6097,5.38,1,0,53011,51910,471,1
alex_bechtel_en,3,171,282,0.61,1,0,271,569,5,0
drakerj1,1,0,59,0.0,0,0,54,5,0,1
ikhwanulaf,8,223,106,2.1,1,0,2220,31,0,0
awegamers,1,4711,0,0.0,1,0,256785,7,4,1
jovis14438683,3,1,61,0.02,0,0,82,585,0,1
fran_agaba,6,167,687,0.24,0,0,573,757,0,0
fx_ibis,1,38,1,38.0,1,0,256,0,0,1
memanatic,5,17,84,0.2,0,0,374,371,0,1
sai2936,0,3,36,0.08,0,0,32,18,0,1
shareefa966,5,8,15,0.53,0,0,12,0,0,1
gakusahdiet87,1,1920,2168,0.89,0,0,3764,4853,0,1
machinelearnflx,5,95295,35348,2.7,1,0,454877,160,2254,1
leetcodeb,1,613,5,122.6,0,0,35800,2,15,1
qriyuc,1,21,31,0.68,0,0,34,0,0,0
heena78692,1,892,972,0.92,0,0,235,162,0,0
raju71814411,0,0,9,0.0,0,0,8,5,0,1
dmrkaan,12,76,1308,0.06,0,0,34,23,0,1
mgogitidze02,0,3,473,0.01,0,0,765,594,0,1
azurflorian,4,5732,5720,1.0,1,0,58887,78618,158,1
jarrettant1,1,0,33,0.0,0,0,30,22,0,1
rupeesreturns,2,55,1415,0.04,0,0,1275,4043,1,0
jblefevre60,6,81365,5614,14.49,1,0,189950,228557,5061,1
guardawallet,4,15362,245,62.7,1,0,5098,1962,90,0
clankapp,2,6088,4,1522.0,1,0,135509,141,43,1
delia83368502,0,0,2,0.0,0,0,2,0,0,1
hnalucky_,0,24,733,0.03,0,0,2075,510,0,0
flow_blockchain,2,58043,54,1074.87,1,0,803,1878,608,0
shoaibr65654590,0,8,87,0.09,0,0,84,55,0,0
oezelhalil,7,35,118,0.3,0,0,890,937,0,0
coinharry_,2,251,275,0.91,1,0,190,377,0,1
grabvatar,7,23,30,0.77,0,0,58,0,0,1
luqmanthoriq,2,57,96,0.59,0,0,177,530,0,1
jjdomains,0,152,653,0.23,1,0,2081,2299,2,1
chororod,1,115,1307,0.09,0,0,30278,2539,0,0
iuckyyriego,0,61,1229,0.05,1,0,4337,1392,0,0
munnaaz68034350,1,15,41,0.37,0,0,16,2,0,1
immunebytes,1,213,199,1.07,1,0,138,29,2,0
davidsacks,14,186766,2424,77.05,1,1,4758,14328,3699,0
mhercie10,0,0,2,0.0,0,0,2,2,0,1
anfibiofacundo,1,75,174,0.43,0,0,3561,6566,0,0
crustnetwork,1,20440,241,84.81,1,0,457,312,134,0
news_of_bsc,1,45466,99,459.25,1,0,555,583,308,0
cryptogenesis10,0,17,101,0.17,0,0,379,18,0,0
vinh_ruby,8,131,952,0.14,0,0,201,87,1,0
hindibitcoin1,1,14,163,0.09,0,0,31,129,0,1
bmurphypointman,9,69735,4650,15.0,1,0,999292,23,550,1
whale_sniper,2,34948,3,11649.33,1,0,49141,524,263,1
denizgl04267017,0,0,17,0.0,0,0,9,6,0,1
voljazing,1,21,22,0.95,0,0,69,3,0,1
twentytenmedia,11,2786,1158,2.41,0,0,137214,59,53,1
trevinster,3,86,843,0.1,0,0,1836,4525,4,0
sjcrypto,4,613,146,4.2,0,0,19227,17648,16,0
annaleevrx,5,12953,1139,11.37,1,0,7532,17626,43,0
s1lverarrow,5,1123,990,1.13,1,0,80749,6772,56,0
klever_io,3,160759,4504,35.69,1,0,7493,22829,179,0
onjolonjologiz,1,61,117,0.52,0,0,129,0,0,0
zkmingz86,6,52,342,0.15,0,0,264,226,0,0
ghanshy34077813,0,0,17,0.0,0,0,10,3,0,1
donnierolex,5,979,4995,0.2,0,0,29391,51270,8,0
fireinsidemusi1,4,192,434,0.44,1,0,1219,186,2,1
alejand72481963,0,0,17,0.0,0,0,12,3,0,1
cryptorommel,2,964,3124,0.31,0,0,10464,7687,2,0
claudiagarlan12,0,1,52,0.02,0,0,29,19,1,1
gauraaaw,1,69,208,0.33,0,0,308,171,0,0
david21552418,1,9,143,0.06,0,0,68,276,0,0
fandew3,2,57,247,0.23,0,0,967,863,0,0
tangocto,5,1454,5002,0.29,0,0,193125,2245,193,0
cryptosolomon_,2,89,503,0.18,0,0,2000,8480,1,0
financemagnates,12,33265,479,69.45,1,0,27876,563,1043,1
bape_corn,0,29,1,29.0,0,0,6,10,0,1
deanvandammexxx,11,31153,94,331.41,1,0,13509,113,152,0
bitplates,2,61,306,0.2,1,0,45,115,4,0
elbbard,1,0,21,0.0,0,0,11,2,0,1
meister_crypto,0,2,125,0.02,0,0,65,811,0,1
vivalacoinbtc,0,53,251,0.21,1,0,459,229,2,0
glaemfdjsjan,10,1,2,0.5,0,0,26,3,0,0
martinfasani,12,1008,734,1.37,1,0,11845,2750,87,0
badboy92448495,0,55,1225,0.04,0,0,299,215,0,1
burlinhyiu7867,2,16,193,0.08,0,0,203,62,1,1
zs63700885,3,1,31,0.03,0,0,7,6,0,1
magar60238868,0,0,2,0.0,0,0,1,0,0,1
joshuarooose,3,28,32,0.88,0,0,291,1719,0,0
fandinoputra,2,15,42,0.36,0,0,5,15,0,0
thetradingtramp,9,14927,335,44.56,0,0,13130,22342,232,0
seedsmentor,2,554,16,34.63,1,0,465,158,7,0
nftfusion,0,173,0,0.0,0,0,3,3,0,1
cryptoify,4,2899,328,8.84,0,0,30100,203,11,1
wolfie2244,12,473,867,0.55,0,0,3494,109450,9,0
fxturkeyorg,5,13355,441,30.28,1,0,2275,2178,34,1
talkwthme,3,12813,2866,4.47,1,0,5440,11301,181,0
kendiisinikur1,1,1,16,0.06,0,0,12,25,0,1
richenks,12,2367,599,3.95,1,0,3132,5069,51,0
ibekweikenna2,1,65,153,0.42,0,0,4984,1050,1,1
1sereda1,1,7,636,0.01,0,0,566,131,0,1
culersworld,1,1,6,0.17,0,0,260,147,0,1
tunguye54842007,0,0,2,0.0,0,0,1,0,0,1
melody07202,1,5,231,0.02,0,0,67,339,0,1
richardcripto,4,235,424,0.55,0,0,1096,998,1,0
sanur281818,0,0,29,0.0,0,0,30,1,0,1
tvisbor,3,1,54,0.02,0,0,82,188,0,1
wanchain_org,4,108746,171,635.94,1,0,1642,1286,1018,0
sha256io,1,9133,0,0.0,0,0,101,0,3,1
pyscalellc,1,1083,209,5.18,1,0,108164,291,14,0
bitforexcom,3,43854,2849,15.39,1,0,1944,6332,182,0
gardell_peter,0,26,209,0.12,1,0,244,955,0,1
jdebunt,10,6239,1750,3.57,1,0,39654,20883,822,1
fraserbrown_org,6,316,880,0.36,1,0,1847,908,13,0
emmanuelbabaso1,0,12,44,0.27,0,0,15,23,0,0
btcexpertindia,4,15653,98,159.72,1,0,2682,3426,33,0
bitilionaire,4,1305,666,1.96,0,0,19233,28527,4,0
dfb,12,136725,189,723.41,1,1,47173,207,977,0
yavuzat87651331,0,0,9,0.0,0,0,1,0,0,1
centolcity,0,289,507,0.57,1,0,2422,1639,0,0
crypto_smn,6,52,139,0.37,0,0,11616,9507,0,0
greataxum,1,77,257,0.3,0,0,262,80,0,0
nhuannguyenktv,7,9,130,0.07,0,0,65,31,0,1
lesleyhiby,0,138,134,1.03,0,0,76,19,0,0
dewanratnakar,1,42,266,0.16,0,0,577,299,0,0
lockanaliz,4,5129,338,15.17,1,0,1865,599,37,0
poplink16,0,23817,12,1984.75,1,0,38,76,5,0
musky_meme,1,824,201,4.1,1,0,3058,8651,3,0
cryptocomlion,0,9,8,1.13,1,0,5,2,0,1
danjm1987,4,214,392,0.55,0,0,5821,10887,1,0
cybersecurite_m,4,655,949,0.69,1,0,7672,1285,19,0
cyberroboz,0,167,131,1.27,1,0,82,714,0,0
messi97m,0,33,40,0.83,0,0,201,195,0,0
adamoonshot,0,7,46,0.15,0,0,20,14,0,0
seervision,5,83,33,2.52,1,0,11,0,11,1
tradeqx,1,68,718,0.09,0,0,987,9201,1,0
zuraghankofie,1,22,39,0.56,0,0,71,86,0,1
winkorg777,1,18558,52,356.88,1,0,373,743,64,0
coopdville2000,12,909,4927,0.18,1,0,5264,4026,9,0
miriamh37422692,0,1,5,0.2,0,0,9,0,0,1
sensationnatio2,0,28,243,0.12,0,0,223,186,0,0
eraymiray5,5,29,136,0.21,0,0,653,971,0,1
playmun,7,13,34,0.38,0,0,80,0,0,1
icekin87,6,14,56,0.25,0,0,72,34,0,0
xeduardopigx,8,228,136,1.68,0,0,1021,2543,2,0
simondolan,12,94691,237,399.54,1,0,23915,8493,502,0
jnaka1983,3,21,345,0.06,0,0,912,1413,0,1
caizcoinci,0,6,16,0.38,0,0,22,3,0,1
joses_wilber,6,148,706,0.21,0,0,835,972,0,0
eppoleemburg,9,1887,1752,1.08,1,0,6781,21031,26,0
ozovetozo,1,13,57,0.23,0,0,753,881,0,0
schrotti77,3,135,228,0.59,1,0,2209,6741,1,0
mumarwaqaas,7,1473,5006,0.29,0,0,4525,6,5,1
pmitch1978,10,34,21,1.62,0,0,464,113,0,0
mobilepunch,12,4148509,2508,1654.11,1,1,456545,136,2981,1
diego234_,11,604,47,12.85,0,0,13,16,0,0
startmytrading,11,49,117,0.42,1,0,2365,2,0,1
zafrin98945358,0,70,141,0.5,0,0,241,191,0,1
margaretsiegien,5,6914,2333,2.96,1,0,18555,35674,119,1
johnnie_blackjb,3,26,82,0.32,1,0,534,275,0,0
hkvp17,0,2,34,0.06,0,0,60,42,0,0
rabbiz_official,0,2784,0,0.0,0,0,3,0,0,1
mirzachand123,0,0,0,0.0,0,0,10,20,0,1
bitcoin_mode,9,10854,0,0.0,0,0,81,0,268,1
dendiomartha202,4,2,125,0.02,0,0,55,5,0,1
xelda45,11,1375,1079,1.27,1,0,19629,38236,17,0
marvin_dollar,1,348,830,0.42,0,0,996,632,1,0
intelgsus,9,164,46,3.57,1,0,15945,24225,1,0
johnnybtc5,2,14,53,0.26,0,0,508,407,3,0
senojuro,3,387,4257,0.09,0,0,17436,0,2,0
lionforex1,11,220,299,0.74,1,0,49701,873,3,1
stackthosesats,1,2229,1592,1.4,1,0,9680,30403,32,0
kolstadoline,0,0,7,0.0,0,0,27,76,0,1
golf_nut6869,0,3,26,0.12,0,0,29,140,0,0
kamad09,1,65,145,0.45,0,0,124,97,0,0
sezzz_g,3,11242,10448,1.08,0,0,44927,45339,3,0
dropyournft,0,1899,208,9.13,0,0,131,493,5,0
xrc_indonesia,2,121,72,1.68,1,0,2854,9678,3,0
frodorhodor,0,3,82,0.04,0,0,10,24,0,1
tmatruk,0,0,0,0.0,0,0,2,0,0,1
victordorofeev1,3,606,258,2.35,0,0,55775,3587,15,1
alice_walter__,2,14890,179,83.18,0,0,16615,24708,26,0
shazademohd,0,0,1,0.0,0,0,27,15,0,0
fucchi8,10,330,171,1.93,0,0,34749,228,4,1
actionpugs,2,1221,4293,0.28,0,0,413,233,1,1
bitfinex,9,628848,59,10658.44,1,1,2931,1459,4732,0
buiwara,10,154,171,0.9,0,0,187,549,1,0
krukx1,0,9,207,0.04,0,0,226,82,0,1
euroslurp,11,337,1074,0.31,1,0,18016,47415,12,0
cryptoroni,2,93,254,0.37,0,0,408,1058,3,1
chiragthakral18,0,0,11,0.0,0,0,7,2,0,1
jar_eles,0,5,60,0.08,0,0,231,1056,0,0
andreas54394631,0,27,25,1.08,0,0,766,1081,0,0
ipfconline1,5,112781,107547,1.05,1,0,183812,140506,7790,1
ayo_olah,4,15783,11010,1.43,0,0,110500,104508,5,0
cryptometerio,3,2404,40,60.1,1,0,68864,22,34,1
huobieco,3,78,18,4.33,1,0,3,0,0,1
alaytna,1,5,29,0.17,0,0,2650,484,0,1
charlot30360037,0,2,6,0.33,0,0,39,63,0,1
openbusinesshq,6,20175,10609,1.9,1,0,28166,31328,850,1
wahryu,12,93,291,0.32,0,0,459,110,0,0
losezesy,1,20,36,0.56,0,0,74,76,0,1
98suspect,0,24,316,0.08,0,0,508,848,0,1
mvollmer1,12,71086,57918,1.23,1,0,109156,269050,760,1
ighodaro6,8,2,19,0.11,0,0,15,4,0,1
myaseen14433,2,17,38,0.45,0,0,339,217,0,1
bruecfenton,9,56022,11,5092.91,1,0,151,0,0,1
poolz,11,0,2,0.0,0,0,1,0,0,1
papayasugared,0,1,11,0.09,0,0,4,5,0,1
amazawi1,1,18,69,0.26,0,0,107,116,0,0
nees_chan,1,43,1107,0.04,0,0,10201,3651,0,0
shasiemie,0,30,169,0.18,0,0,355,161,0,0
posterav,7,21,36,0.58,0,0,50,0,0,1
ujalanoor14,1,24,86,0.28,0,0,143,83,0,0
cointelegraph,8,733426,631,1162.32,1,0,47269,5026,7661,1
mike77677,10,35,114,0.31,0,0,125,1005,1,0
asianburlesque,6,466,940,0.5,0,0,398,988,5,0
fuatairdrop,0,38,146,0.26,0,0,91,64,0,0
cryptoqveen,1,385,622,0.62,0,0,798,911,0,0
mfahmib77,7,8,14,0.57,0,0,1,16,0,1
ekryptowalut,1,9050,82,110.37,1,0,470,409,31,0
2002vales,8,2,99,0.02,0,0,2,39,0,1
straits_times,12,1083972,127,8535.21,1,1,451223,2,6197,0
cryptojustine,1,26744,3,8914.67,0,0,460,84,20,0
gateairdrop,0,19,176,0.11,0,0,198,128,0,0
